intake_date,intake_type,intake_subtype,ken_jurisdiction,ken_zip,outcome_type,animal_id,animal_type,primary_breed,secondary_breed,person_id,src_zip,src_jurisdiction,person_id,own_zip,own_jurisdiction,microchip,microchip_bin
00:00.0,STRAY,FIELD,AUSTIN,78744,ADOPTION,A827249,DOG,BOXER,NULL,P075246,78744,NULL,P757360,78747,NULL,982126059824530,1
00:00.0,STRAY,FIELD,TRAVIS,78728,ADOPTION,A827258,DOG,GERM SHEPHERD,NULL,P794443,,NULL,P794353,78703,NULL,982126059761488,1
00:00.0,STRAY,FIELD,AUSTIN,78748,RTO,A283495,CAT,DOMESTIC SH,MIX,P345756,78748,TRAVIS,P175812,78745,AUSTIN,434C282259,1
00:00.0,STRAY,EMERG CLC,AUSTIN,78741,TRANSFER,A827246,CAT,DOMESTIC MH,NULL,P794536,78741,NULL,P070962,78752,AUSTIN,982126056104517,1
00:00.0,STRAY,EMERG CLC,AUSTIN,78741,TRANSFER,A827245,CAT,DOMESTIC MH,NULL,P794536,78741,NULL,P070962,78752,AUSTIN,982126059540377,1
00:00.0,STRAY,OTC,AUSTIN,78742,TRANSFER,A827274,CAT,DOMESTIC SH,MIX,P753972,78742,NULL,P070962,78752,AUSTIN,982126059767472,1
00:00.0,STRAY,OTC,AUSTIN,78742,TRANSFER,A827276,CAT,DOMESTIC SH,MIX,P753972,78742,NULL,P070962,78752,AUSTIN,982126059775290,1
00:00.0,STRAY,FIELD,AUSTIN,78744,TRANSFER,A827299,CAT,DOMESTIC SH,NULL,P538827,78744,AUSTIN,P070962,78752,AUSTIN,982126059776010,1
00:00.0,STRAY,FIELD,AUSTIN,78753,ADOPTION,A827284,DOG,CHIHUAHUA SH,NULL,P794512,78725,NULL,P281025,78723,NULL,982091061645116,1
00:00.0,STRAY,FIELD,AUSTIN,78721,ADOPTION,A827282,DOG,JACK RUSS TERR,BEAGLE,P794563,,NULL,P799888,78251,NULL,982126059767672,1
00:00.0,STRAY,FIELD,TRAVIS,78615,ADOPTION,A827279,DOG,CATAHOULA,NULL,P415984,78615,TRAVIS,P800827,78717,NULL,981020029138364,1
00:00.0,STRAY,OTC,AUSTIN,78754,ADOPTION,A827272,DOG,STAFFORDSHIRE,MIX,P794595,78754,NULL,P798026,77354,NULL,982126059761863,1
00:00.0,STRAY,OTC,AUSTIN,78704,RTO,A827283,DOG,PHARAOH HOUND,MIX,P389954,78701,AUSTIN,P794629,78704,NULL,985112010502153,1
00:00.0,STRAY,FIELD,AUSTIN,78741,ADOPTION,A827280,DOG,CHIHUAHUA SH,NULL,P794335,78741,NULL,P428063,78612,NULL,982091061645930,1
00:00.0,STRAY,FIELD,AUSTIN,78738,ADOPTION,A827212,DOG,SIBERIAN HUSKY,NULL,P794208,78738,NULL,P794643,78731,NULL,982126060051720,1
00:00.0,STRAY,OTC,AUSTIN,78744,ADOPTION,A827223,CAT,DOMESTIC SH,NULL,P114422,78733,NULL,P797628,78726,NULL,982126059955850,1
00:00.0,STRAY,OTC,AUSTIN,78758,ADOPTION,A827239,DOG,PIT BULL,NULL,P768033,78665,ROUND ROCK,P797832,78616,NULL,982126059835111,1
00:00.0,STRAY,OTC,AUSTIN,78744,ADOPTION,A827225,CAT,DOMESTIC LH,NULL,P114422,78733,NULL,P796524,78731,NULL,982126059955880,1
00:00.0,STRAY,EMERG CLC,AUSTIN,78745,ADOPTION,A827197,CAT,DOMESTIC SH,NULL,P372602,78741,AUSTIN,P796603,78741,NULL,982126059726316,1
00:00.0,STRAY,FIELD,AUSTIN,78744,ADOPTION,A827229,DOG,SIBERIAN HUSKY,NULL,P125388,NULL,NULL,P792984,78702,AUSTIN,982126059834950,1
00:00.0,STRAY,OTC,AUSTIN,78744,ADOPTION,A827221,DOG,GERM SHEPHERD,NULL,P794496,78744,NULL,P789370,78705,NULL,982126059825277,1
00:00.0,STRAY,FIELD,AUSTIN,78744,ADOPTION,A827202,DOG,PIT BULL,NULL,P794253,,NULL,P802132,78751,NULL,982126059834679,1
00:00.0,STRAY,FIELD,TRAVIS,78617,ADOPTION,A827218,DOG,GERM SHEPHERD,MIX,P750181,78617,NULL,P812340,78741,NULL,982126059825168,1
00:00.0,STRAY,FIELD,TRAVIS,78617,TRANSFER,A827215,DOG,AUST SHEPHERD,NULL,P794194,78617,NULL,P293362,78610,NULL,982126059777317,1
00:00.0,STRAY,OTC,AUSTIN,78744,ADOPTION,A827224,CAT,DOMESTIC SH,NULL,P114422,78733,NULL,P796151,78759,NULL,982126059956212,1
00:00.0,STRAY,OTC,AUSTIN,78744,ADOPTION,A827227,CAT,DOMESTIC SH,NULL,P114422,78733,NULL,P796151,78759,NULL,982126059845982,1
00:00.0,STRAY,FIELD,AUSTIN,78744,ADOPTION,A827238,DOG,PIT BULL,NULL,P763038,78744,AUSTIN,P794826,78728,NULL,982126059835064,1
00:00.0,STRAY,OTC,AUSTIN,78702,RTO,A763079,DOG,STAFFORDSHIRE,MIX,P770442,78753,AUSTIN,P661123,78758,AUSTIN,985112004778688,1
00:00.0,STRAY,FIELD,AUSTIN,78744,TRANSFER,A827198,DOG,GERM SHEPHERD,NULL,P667963,78744,NULL,P083529,78703,AUSTIN,981020015154511,1
00:00.0,STRAY,FIELD,AUSTIN,78736,ADOPTION,A824354,DOG,PIT BULL,NULL,P514194,78736,NULL,P804534,78744,NULL,982091061644373,1
00:00.0,STRAY,FIELD,TRAVIS,78653,ADOPTION,A718327,DOG,SIBERIAN HUSKY,GERM SHEPHERD,P794217,78653,NULL,P760910,78722,NULL,981020015136480,1
